ID,Comment,Num duplicates,Length
1378,as far as variable measuring the one thing i would be concerned about is your original prototype also contains a search icon will you measure that too how will you distill results if you do just make sure you are aware of that potential muddling of data,0,47
1342,no description of the possible outcomes of an ab test,1,10
409,inspiration a lot of fantastic discussion on particular interface features and interactive elements would like to see some more commentary on some higher level inspiration related to your pov on your own time spend a few thinking about some other applicationssystems that might inspire you in that area,0,48
408,pov the core user need can be clearer in this point of view just learning described as a daunting task nor pointing out the potential useful need of peer experts is quite concretely demonstrating a user need,0,37
453,the first prototype doesnt show enough interaction for me to understand how its implemented especially the last screen is unclear,0,20
454,your point of view needs to explain more what about their formatting causes them to fall short how are their communication channels limited,0,23
455,i like the connection to the anonymityyik yak and communityquora that you guys make beware that those two are often at odds with each other,0,25
1346,deductions no quantifiable measure listed,0,5
379,observations would like to see more clarity in the breakdowns of the 3rd observation zhen  marco,0,16
378,good job on distilling some interesting needs from the information system that exists within school i thought it was an insightful perspective that customers should not be the middle communicator for such office systems,0,34
371,all photos missing captions,1,4
370, observation section could be a more clear in demonstrating breakdownsdesign opportunties needs are supposed to be generated from breakdownsopporutnites,0,19
373,a lot of needs are way too specific to be relevant enough to the activity to warrant a design project ex needs to find a baking soda replacement additionally some redundancy in the list of needs,0,36
372,there should be no solutionsfeatures to solve needs,0,8
375,interesting insight that impromptu scheduling seems to be more successful than nonimpromptu,0,12
374,needs a lot of these are unrelated to the activities that you observed a lot of these needs also fall into the same category of simply making a decision between a and b what else do people need in the exchange of informationopinions to make a decision besides just changing what a and b are,0,55
377,"to	use	it	to	make	her	notsospontaneous	trips	with	others	successful as	well",0,2
376,"needs some needs are too vague to be churned into a design project ex alex	needs	a	way	to	take	what	makes	her	spontaneous trips	with	others	successful	and",0,16
393,both storyboard 1 and 2 have a good setup but dont show how the user reaches satisfaction in the end taking point off only from storyboard 2,0,27
392,how does your inspiration inspire yourelate to the point of viewmake peoples expressions more empathetic online how do they succeed where do they fail,0,24
391,didnt give talk never reminded me,0,6
390,definitely the needs are straying from a personal informatics brief gave credit anyway but its easy to see how you went astray early on thankfully i think were more on track,0,31
397,the second prototype doesnt show me a clear interaction with the prototype,0,12
396,talk more critically about what the mentioned inspirations lack and how you might solve that particular aspect no points deducted,1,20
395,your point of view seems to point in a direction but im not sure what its trying to solve a more explicit need needs to be mentioned for example,0,29
394,also a prototype is nonobvious as the solution is missing,0,10
399,many of the inspirations dont explain exactly how it relates to your point of view movie or interactive theater is way too broad of a category explain better how you might improve on these existing inspirations or how they fall short,0,41
398,your introduction explains your point of view better than your point of view section,0,14
895,development plan wellthought out and organized you will want to add in the dates of your outside constraints so your team knows exactly when those external factors will affect your progress,0,31
245,your point a modern community should allocate more space by integrating various facilities into single edifices or in proximate areas to promote activity such as taller buildings is not a usergenerated need ensure that you are not framing needs as solutions or features,0,43
244,for your first user scannable by evernote is helpful,0,9
246,lastly photo captions do not articulate breakdowns,1,7
241,photos not very clearly indicated how some of these photos are linked to the particular 3 observations that you made make sure that the captions provide enough detail for that is hannah involved in one of these photos etc,0,39
240,parking a longstanding problem that could definitely use some design improvement i think it was good that you observed a good variety of breakdowns from highlevel locating to interfacelevel issues,0,30
243,for armando it isnt quite clear from the observation writing where the breakdown design opportunity is everything seems to be going well for him and no issues are brought up what went wrong with his methods of dividing tasks in his activities,0,42
242,needs a number of redundancies in these needs that could easily be squashed into fewer needs could dig deeper into the core motiviations of those involving in this parking system exchange,0,31
248,first photos caption does not articulate a breakdown,2,8
179,ensure that you are not articulating needs as solutions or features eg jason needs an app that can help him find activity for him,1,24
177,very thorough your needs were articulated more as features though be careful about being too solutionfocused in this first step,0,20
176,your ideas and topic are very interesting but the sketches submitted demonstrated features or solutions they should show users in the situation and the breakdowns in that situation,0,28
175,needs some redundancieslack of relevance in needs,3,7
174,observations no discussion of what the activity isrelation to brief in general missing a lot of substance regarding breakdownsopportunities for design distilled from observation not very clear what exactly is being observed and what you observed was a breakdownopportunity while interviewing is also an important role in needfinding watching and observing breakdowns rather than only listening to what they have to say about their problems is a major part of this assignment did the lack of nicely designed signs hinder alon in his activity does diana make mistakes in ordering because of calorie concerns these are examples of potential breakdowns that would be important to watch out for,0,108
173,well done great job finding a diverse set of participants with meetings involving members with varying levels of commitment a core problem with many different possible breakdowns,0,27
171,fantastic job with the organization of your assignment most of the breakdowns you observed seemed to revolve around reminders which does make sense i would have been interesting to see if there are any parts of the whole exchange that could yield interesting insights for example even the decision stage at a restaurant table when people try to organize payments could be interesting in a longer span it could also be interesting to see how much people pay each other back in a mutual fashion would we really need to exchange money all the time if were always paying for each other of course not possible with the time scope of this assignment but something interesting to think about,0,119
170,needs a number of redundancies in needs listed,2,8
1502,deductions 1 point off for your statistical analysis conclusions  your chisquared statistic is 08333 your pvalue is 0361 which is not statistically significant to the p 05 level which is what we required for this assignment that means your ab test did not nullify your results,0,46
1503,some issues of polish remain specifically on the add savingscategories page,0,11
1500,still confused about what to do prima facie,0,8
1367,the dev plan is borderline passing for these points it has not been updated well in terms of added times or including all tasks that were done it also appears that teamwork is not evenly distributed spend a few extra minutes fixing the dev plan and updating for both a9 and a10 or you will lose points in the future last warning on dev plan,0,65
1227,in general everything is mostly functional  nice work there only small kink at the moment still is being able to have multiple users testing the app at once  i think you really want to focus on interaction flow now think about all the cases where users will want to do things,0,51
659,home screen the goal list is off center from the buttons when your homescreen is viewed on the desktop when viewed on a mobile device the logout button overlaps the with your logo and the lower three buttons become stacked remember that youre developing a mobile web app your home screen should be developed accordingly,3,55
1619,pitch was awesome  great work  ,3,5
1617,nice pitch just not creative excellent poster great walkthrough,0,9
1615,nice work on pitch could have been better rehearsed nice poster walkthrough is twice as long as allowed,0,18
1612,considering you only had 2 teammates i think your app came together best out of both studios good work pitch was great poster was nice walkthrough well done,0,28
1613,well done thank you for a great quarter  good luck on any remaining finals,0,14
1610,enjoyed having the three of you in studio great to see your app develop over the quarter needed a little more practice on the walkthrough today and also looking for a little more on the point of view about helping students reflect on their priorities and time use the key idea was there but just needed a little more fleshing out in the app,0,64
1611,the feedback loop on the slide saved it using blackgray against dark green wasnt a good idea decent poster nice walkthrough,0,21
1142,mostly there just needing to flesh out the rest of the functionality employee dashboard,0,14
1143,the app needed a lot of progress at this time but i remember it worked at least on device mode and phone,0,22
1140,great functionality eveything is mostly all there there are still some unanswered things like what happens when your friendler levels up why does it matter to check in with friends vs checking in alone,0,34
1141,great progress this week the only point off is because i dont think the add assignment page has the ia you want for a mobile app as we discussed in class,0,31
1146,overall you look ready for testing just looks like you did not fully update your dev plan to reflect your progress this week,0,23
1147,less detail more big picture core functionality,0,7
1144,the visual design is great but there still needs to be a way to know what exactly it takes to earn more tastebuddies great functionality so far,0,27
1145,nice job,1,2
1148,the interface is still not very intuitive not enough progress,0,10
1149,plan is not easy to read and links dont work task sentence isnt a task its instructions on what buttons to press,0,22
692,individual he overall good analysis and organized he really nice catch and observation on the spelling for keyword matched voting that would definitely break the system,0,26
693,group he way too focused on feature additions to the app and less so on usability should be more oriented toward distilling important usability heuristic violations from all individual hes and providing some potential solutions,2,35
690,missing severity ratings,0,3
696,some of the heuristics were more featurefocused rather than usability focused for this step you want to make sure to comment on the functionality rather than the details of the features the group evaluation for the 2nd prototype is lacking more actionable suggestions for improvement,2,45
697,severity is having a help page really severity level 4 this was the only level 4 you listed  but i would say a lot of the usability issues you mentioned are much more important and not having a standalone help page isnt probably catastrophic to app functionality,0,47
694,missing link pulled it from your other teammates ,0,8
695,home page good start unclear what the iconbutton up at the top right is used for so you may want to work on clarifying that,2,25
699,home page good start one thing to consider moving forward is what users would like to see on their first functional home page would they prefer a list of all colleges when you provide a search anyway or perhaps a list of the colleges they are currently followingmost interested in its also not quite obvious what the difference between your home selection and schools selection is at the current point in time in general if you decide to have users create their own personalized list youll want to distinguish between your schools and schools overall,2,95
1548,still needs some work its not clear what the app does prima facie,0,13
1549,online test results nice clean report,0,6
542,the point of view is too specific with its problem and doesnt explain why personal informatics are important to solving this problem i think your group is on the right track but the point of view you wrote here is not connected very well to the brief this needs to be clear for your benefit,0,55
543,look in places you otherwise might not look for inspiration reach as far as you can for inspiration,0,18
540,comments recommend not tying yourself to one extremely outdated device when developing your prototypes,0,14
541,is there any way that your app might pull information from online sources to make entering requirements less tedious,0,19
546,nice work good comparative analysis and feedback,0,7
544,good storyboards good prototypes,0,4
545,this assignment is incomplete  ensure youre reading the assignment description  rubric in detail before submitting,0,15
414,look  prototype requirements presents an interface at a sketch level,0,10
415,pov i think this pov is getting close but could be honed down a little closer to the concrete need addressed particularly in responding to the impersonaldegrading aspect of asking for favors what do users actually need for this to not be a problem just a provided hub for this may not be enough to clarify this design space there are many hubs and possibilities for hubs what is your point of view on what needs to exist in this space,0,81
416,explain about how your inspirations fall short of solving your problem,0,11
417,good job i really like the metaphor of the timer in the first prototype,0,14
410,prototypes for the scans you should show some steps indicating a flow that takes a user through the application otherwise someone looking would not be able to distill the proper interactions from the prototype and create a functional application,0,39
411,in general its also a little difficult to distill the critical highlevel design differences between the two prototypes they both seem pretty centered around a lookup of people teaching certain subjects and the ability to initiate some conversation considering some different designs to address your pov can greatly help with the iterative process try to spend some time thinking about on your own time this will also help you figure out exactly what core feature makes your final app what it is,0,82
412,the food app has been done many time before  what new dimension will you bring to the table,6,18
413,sketch was wonderful but too detailed sketch is supposed to take 10 minutes as stated in rubric for a2 also refer to class slides,0,24
1384,these are leading questions how could you reword them in order for them not to be,0,16
1385,users thought that the roll button was kind of buried at the bottom making it less appealing when the page first loads  this is not a change to be made  one way to check if youre starting with a verb or more action oriented verbiage,0,45
1386,pending  this is confusing how to know what exactly is pending  is it just a lag in connection is it a users invite is pending their acceptance please add clarification,0,30
418,pov not clear where the core user need is in this pov that points toward the design space looking for different food  snack options is a very broad area as is giving information  opportunities to find better meal options what is it in particular in your point of view that you think students need to successfully engage in the exchange of food,0,62
419,inspiration really good analysis of inspiration a lot of valuable insight,0,11
1382,do they think that the menu button is too small how can we help make it more,0,17
1383,accessible do the users think that the color synergy plays well together   how do they like the flow of the application ,0,21
368,in general you want to follow the instructionsrubric of assignments you missed a lot of things and did a lot of things wrong that could have been avoided by following the doc,0,32
369,explanation on relation to brief,0,5
366,photos 2  3 no clear connection to a breakdowndesign opportunity just captioned general scenes,0,14
364,talk overtime,0,2
365,observations needs more clarity on exactly where the breakdowns  design opportunities are occurring for example bridgets main activity would have been taking the alternative route in attempting to engage in exchange with local experts what happened in this process that you observed what things hinderedhelped her along the way,0,49
362,photo 1 michelle no clear demonstration of breakdownsopportunites,0,8
363,needs  a number of redundancies in the list ex needing to be able to utilize colloquial phrases better,0,18
360,needs some of these needs were redundant and could have been squashed down into fewer one of the things to watch out for mostly because of the nature of what you observed is to not fall too deep into generating too many needs that are interface specific remember to take a step back and think about the activity as a whole the users experience their core motivations and ultimately what they need and how that can be the basis for some interesting design projects,0,84
361,very interesting choice of topic and great diversity in activities chosen i found that the most insightful observations that you made were in your 3rd section with the natural interative setting between leo  mikey where you brought up the design opportunity that learning together is fun i would have liked to see more of this type of oberservation in your other sections often times its whats done that can speak even louder than what is said,0,76
381,very interesting discussion of habit being an inhibitor to novelty also interesting was the perspective of work interrupting entertainment rather than the more common version of entertainment distracting from work,0,30
382,needs some redundancy in needs ex efficient discovery of appealing content,0,11
383,be careful not to focus on the solution too much the first photo provided was more solution focused than demonstrating a breakdown some of the needs listed were also more featurefocused also in your observations rather than noting how theyre parking think about how parallel parking is affecting them ie were they stressed were they afraid etc,0,57
384,your pictures did not make the breakdowndesign opportunity clear your needs were written as things that the user wants not needs also they were often written as  features  eg user wants a confirm alert where you should be talking about the underlying need that a confirm alert is trying to address why does the user want a confirm alert the need there is to avoid making an error,0,68
385,two of your breakdowns were very general  they sounded more like a restatement of the challenges of dieting than an example of exactly how a diet goes off course,0,29
386,the only point you lost was for not clearly demonstrating design opportunitiesbreakdowns in your submission your interviews were written up describing what the people you interviewed said without focusing on the actions they took and your own evaluation of the content of their statements its important when doing needfinding to go deeper into what people do by digging deeper into the answers that people give you in addition to listening,0,70
387,ensure that you are not articulating user needs as solutions or features  that the photo captions also express breakdowns,6,19
388,hoa i added the point that we talked about,0,9
389,missing photossketches for each observation observations should be more comprehensive and demonstrate a clear user breakdown and should be explicitly linked to the studio brief needs were more solutionfocused rather than userfocused this assignment is more about understanding the user and what the user might need rather than the app they might use did not dock points for presenting in studio since you entered the class after this assignment was due,0,71
258,the topic and ideas are great be careful not to become too invovled during observations you want to observe as if youre an outsider,0,24
259,the topic is interesting but needs to be more explicitly related to the studio brief also only 2 participants were observed,0,21
252,since you chose different types of users to observe a comparison or commonality of breakdowns between them wouldve been exciting to point out,0,23
250,i am one of those people that uses a dslr while carrying many lenses if you want to see a particular setup that has worked for me and the design thoughts that went into it let me know and i can share it during office hours,0,46
251,the observations and photoscaptions should explicitly make clear where a breakdown appeared a factual account is not an interesting observation,0,20
256,good job on insightful breakdown observations,0,6
257,great topic and great job,8,5
254,excellent job really insightful observations in different situations,0,8
255,a few of the needs listed are not quite as relevant to your activity of group discussion,0,17
1679,great job today definitely enjoyed how frank the pitch was i think the audience got a kick out of it too p well done with everything,0,26
168,photo 2 no clear demonstration of breakdowndesign opportunity,1,8
169,photo 3 same thing,0,4
164,as a longstanding method of spreading awareness flyering definitely has room for interesting design improvements it was good that you observed different aspects of the flyering process from the conversation to the travel of the physical handout,0,37
165,observations no description of activity and its relation to brief,0,10
166,needs a number of needs that you generated do not seem relevant to the activity that you observed nor the breakdowns that you found,0,24
167,observations commentary here could be more clear on what breakdownsdesign opportunities you found while observing activities you mention a lot of he saidshe said but not much of really detailing particular things that actually happened while you were watching it can help a lot in these cases to be more specific as you watched person x perform activity y z happened when they tried to achieve abc etc,0,68
160,great work a couple of your needs are more features than needs other than that great,0,16
161,as we discussed this is a very important and serious topic that being said ensure that you are able to fully complete the learning goals of the course within the prope scope  eg these observations are based on your interviewees observations where the assignment specifically wanted you to conduct the observations if the grandiose nature of this topic means you will not be able to fully complete the learning goals i would strive to find ways of scaling down the topic or finding communities in your immediate environment eg refugees coming toin san diego in order to ensure you are reaching the learning goals in this course questions come to office hours,1,112
679,some of the violations and compartive analyses listed could have been explained in greater detail good job overall,0,18
670,ensure following directions  submitting in pdf format,2,7
671,the other category shouldnt exist  these should be categorized within the heuristics for example  there is no progress report at the end of 21 days which summarizes the completion number of missed days continuity streak for each activity 3  this would be considered flexibility and efficiency of use a regular user of this app would expect some sort of reportingstatus update and this is not a use case supported in the current prototype,0,73
1609,many of the points you did not get stemmed from not having a clear or insightful pov your pov seemed to be that people lack data about electricity usage but why do they lack data what is the barrier to collection i dont think its just because they dont have an app,0,52
