ID,assignment,comments,length
50,1,nice work,3
51,1,nice job,2
52,1,ensure you complete entire assignment -- no prototypes present.,9
53,1,Brainstorming: focus on generating a diverse set of concepts rather than worrying too much about laying out the details of few potential solutions.,23
54,1,"Well done! Interesting approach with a more specific problem that if solved, can lead to better experiences overall for Freshman. ",21
55,1,"directions were to fill out worksheet packet twice. despite this, your work is really well done. questions also missing.",19
56,1,treated sketch as prototype,4
57,1,Well done! Just missing video questions.,6
58,1,Well done! Just missing video questions.,6
59,1,"appreciate the humor, but use that effort for going deeper. good job, regardless.",13
60,1,I liked your prototype,4
61,1,Brainstorming: should focus more on generating more diverse concepts. Two might not be be spread wide enough to search for those global maxima,23
62,1,nice work -- ensure you complete the entire assignment -- no feedback or video questions.,15
63,1,"Missing the ideas, sketch, prototype, and testing",7
64,1,good work -- would like to see a wider range of ideas during ideation,14
65,1,Brainstorming: you'll want to focus on generating a more diverse set of concepts. The two you had were pretty limited by their similarity.,23
66,1,Prototype: this should be separate from the details. Something that a user testing can interact with and not be pre-informed by complete descriptions/explanations.,24
67,1,Could have dug deeper in the interviews for some better insights.,11
68,1,Dig a little deeper on your Point of View,9
69,1,nice work,3
70,1,Would have liked to see more sketches for the prototype. Video questions should be about subject matter of videos directly.,21
71,1,questions? i like the price center redesign idea.,8
72,1,No actual questions in the video questions!,7
73,1,Your prototype looks more connected to the studio brief than the interview on the freshman experience.,17
74,1,please use provided materials as they scaffold the design thinking process accordingly,12
75,1,great work,2
76,1,The interest based dorms solution could be fleshed out a bit more - what differentiates it from the traditional matching survey? Prototype is incomplete,24
77,1,"ideate more, kinda fixated",4
78,1,great work,2
79,1,Well done!,3
80,1,"As a follow up, can you think about the downsides to designing such a general purpose app/program? With a lot of users, it would be attractive and work well. What might you encounter when trying to get the initial batch of users?",42
81,1,A lot of this doesn't seem very well connected to a *Freshman* experience.,13
82,1,Brainstorming: focus on a larger number of diverse concepts (brainSTORM),10
83,1,"Prototype: for an application, should be something that a user testing would be interacting with",15
84,1,ensure you're completing the entire assignment -- no video questions or prototypes,12
85,1,"Brainstorming: focus more on generating a diverse set of concepts, rather than multiple deeper details on a single potential solution",20
86,1,Missing questions.,2
87,1,nice work -- ensure you complete the full assignment e.g. video questions,12
88,1,Well done!,2
89,1,"Prototype could be more complete to help simulate the experience with a partner to receive feedback. In line with that, want to avoid explicit floating labeling of what things do on a prototype. ",34
90,1,great work,2
91,1,Well done!,2
92,1,"I like your concept of an application of doing matching work, but ultimately giving the last iteration of selection to the user. There can be many benefits to this.",29
93,1,The prototype is a little lacking in terms of giving a user that is testing a interactive experience to work with. Perhaps a little more integration with the email sent out. Is the video embedded? Is it a separate page?,40
94,1,"Also something to think about: if a system is difficult, when is it better to add more instructions vs. redesign the system?",22
95,1,ensure you're completing entire assignment -- no prototype present.,9
96,1,nice work,2
97,1,"Prototype was good, but no video questions component was added",10
98,1,"sketch could be better, but gave point anyway. video questions?",10
99,1,"Great job on the assignment, but your online submission doesn't contain the first worksheet from class! ",17
100,1,"Prototype could be stronger and more tied to previous ideas. ""Do the preparation for them"" <- how can you design the emails to make the students feel more like this and less like receiving your average spam/university email",38
101,1,good work,2
102,1,Great first interview question.,4
103,1,"great work, but you focused in too much on your prototype, reflected in your use of a computer to make it. remember not to fixate too early on an idea, because a better one might come along and you want to be flexible.",43
104,1,brainstorming and sketching seem to be a strong point.,9
105,1,Dig a little deeper on your point of view.,9
106,1,"Dig deeper on your point of view to help you generate more insightful ideas and prototypes. Also, not having video questions hurt your score.",24
107,1,Only one worksheet submitted.,4
108,1,Brainstormed only on one idea. Quantity is important!,8
109,1,Brainstorming: focus on generating a diverse set of concepts (not just one),12
110,1,good work -- strive for more depth,7
111,1,"Good to see divergent ideas (e.g. not just a similar solution over and over) within each interview, though your in-class and freshman interviews tended toward similar ideas.",27
112,1,"Brainstorming: focus more on generating a diverse set of concepts, rather than all of the details in a single direction/possible solution.",21
113,1,Well done! Just missing video questions.,6
114,1,I like the idea of making the org page more of a portal worth re-visiting instead of a static list.,21
115,1,Good video  questions. I recommend checking out Dan Russel's seminar this spring when it is announced in class because he covers both of these questions really well. Dan's work actually involves observing people in their own homes in an unobtrusive manner to observe as realistic behavior as possible,49
116,1,"Prototype: to get the best results out of testing a prototype, you wouldn't want external labels and explanations of how it works. Otherwise, the feedback given back from the user might be a little too informed.",36
117,1,"I like the very unique approach to interviewing the Freshman though! Most people focus on asking about the negatives, but you chose to inquire more on the positives. ",29
118,1,"Prototype: specific insights from the interview weren't applied too much, seems more like a general catch-all motivation machine. Ajay's case seems to revolve a lot around scores and exams, how might we redesign the experience to maintain motivation for him when that happens?",43
119,1,nice work !,3
120,1,"great work, but you focused in too much on your prototype, reflected in your use of a computer to make it. remember not to fixate too early on an idea, because a better one might come along and you want to be flexible.",43
121,1,Sketch should be separate from the prototype. No questions or reflection component.,12
122,1,nice work!,2
123,1,"Assignment is missing many of the components, such as the interview, sketch, and reflection components.",15
124,1,finally graded. :D,3
125,1,questions missing. please turn them in by 2/26.,8
126,1,Had to take 2 points off because I didn't see your reflection questions for the video!,17
127,1,"Prototype idea was a bit generic, tried to solve all problems and very similar to existing ucsd app, but otherwise good. I didn't see your video questions in the online submission. Let me know if I should check your physical submission. ",42
128,1,questions missing? seem to have strength in ideating and sketching out ideas.,12
129,1,Prototype did not reflect the POV from your interviews. Good insights about the struggles of international students.,17
130,2,Good job!  -1 b/c your talk went long,9
131,2,"""Surprisingly, I found out that two of my participants prefer not to use their phones unless necessary to find their way to places"" -- great",25
132,2,missing third picture,3
133,2,"User needs are *not* application based -- the assignment asked to list the needs, not solutions that could be used to address the needs",24
134,2,Second photo caption does not articulate a breakdown,8
135,2,Make more explicit connection in the observations to how the stories affected the user and caused them to empathize with the original poster. We want more than a factual recounting of your observation.,33
136,2,Needs are expressed too much as specific solutions or features.,10
137,2,"Needs: some redundancies in needs, try to be more critical of what you observed and dig for the deep motivations that cause what you saw",25
138,2,Nice work. Some user *needs* are framed as user *wants* -- these are *very* different things,16
139,2,Good job!,2
140,2,"Observations: would like to see a lot more insightful commentary on the breakdowns/design opportunities for each your observations. It seemed like the main issue you brought up was that they had to use pictures of schedules to sync up. In that activity, where were the pitfalls? What doesn't work about this method? What does work?",55
141,2,"Photo 1: similar to above, it's not clear where the breakdown/design opportunity is in this photo/caption. Having to default to using your phone to engage in the activity is not so much of a breakdown. Where exactly was the pitfall of this interaction?",43
142,2,Needs: some redundancies,4
143,2,"Observations: Remember that you are trying to observe exchange in social situations. Some of your observation discussions don't seem to relate that much to that activity. For example, the breakdown with Colin doesn't really show any slips with him exchanging during his social lunches, only that he eats with the same friends. A better breakdown (for example) might be that Colin fails to talk about interesting topics because he eats with the same people every week. ",77
144,2,Photo 1: The photograph does not really indicate the breakdown/opportunity described in the caption,14
145,2,Needs: A few of these needs aren't as relevant to the activity you observed,14
146,2,Needs: there are a few redundant needs that could be squashed into one,13
147,2,"Interesting problem space, animal companionship definitely has many opportunities to be enhanced with technology. Transferring ownership, temporary or permanent, is definitely an often repeated process that is currently done manually and with varying amounts of success. Be interesting to see how design can help here!",45
148,2,"Clever choice of social media medium to reach more diverse participants and also have some data automatically logged for you. Interesting stuff to think about. When being connected to so many people, how can we selectively exchange personal thoughts while still being efficient?",43
149,2,"Needs: Some needs are redundant. Kyra connecting to people[known/less known] spontaneously to talk to, Vivian having a less distracting social media, etc. ",23
150,2,Was looking for a few more photos highlighting breakdowns.,9
151,2,"Nice work -- it could also be interesting to interview someone on the other side of the event planning equation, e.g. an event goer -- what is their threshold for attending an event?",33
152,2,Photo captions do not articulate breakdowns,6
153,2,be more clear about your breakdowns and opportunities,8
154,2,Very thorough! Great job!,4
155,2,Observations: There isn't a very clear description of what particular activity you were observing. The main detail mentioned is only what kinds of questions you asked in the interviews. I would have liked to see more insight on the things observed while you were watching your participants.,48
156,2,Needs: A number of redundancies needs that aren't particularly critical enough to warrant a design project. We want to really think about what was observed and what motivations would drive peoples' actions in the activity you observed.,37
157,2,"Observations: could be more clear on where exactly the breakdowns/design opportunities are. Asking whether or not they would be willing to exchange for food, recipes, and cooking lessons is a leading question and does necessarily give reliable insight on opportunities for design. ",43
158,2,Photo #2: does not have a clear breakdown/design opportunity. Just describes how Dan goes about his routine.,17
159,2,Needs: some redundant needs,4
160,2,"Great work! A couple of your needs are more features than needs. Other than that, great!",16
161,2,"As we discussed, this is a very important and serious topic. That being said, ensure that you are able to fully complete the learning goals of the course within the prope scope -- e.g. these observations are based on your interviewee's observations, where the assignment specifically wanted *you* to conduct the observations. If the grandiose nature of this topic means you will not be able to fully complete the learning goals, I would strive to find ways of scaling down the topic or finding communities in your immediate environment (e.g. refugees coming to/in San Diego) in order to ensure you are reaching the learning goals in this course. Questions? Come to office hours.",113
162,2,Ensure that needs are *not* articulated as solutions or features.,10
163,2,"The observations need to reflect on what the activity on facebook affected each participant. The second observation had this, but the others didn't.",23
164,2,"As a longstanding method of spreading awareness, flyering definitely has room for interesting design improvements. It was good that you observed different aspects of the flyering process, from the conversation to the travel of the physical handout. ",38
165,2,Observations: No description of activity and it's relation to brief,10
166,2,"Needs: A number of needs that you generated do not seem relevant to the activity that you observed, nor the breakdowns that you found. ",25
167,2,"Observations: Commentary here could be more clear on what breakdowns/design opportunities you found while observing activities. You mention a lot of he said/she said, but not much of really detailing particular things that actually happened while you were watching. It can help a lot in these cases to be more specific. As you watched person X perform activity Y, Z happened when they tried to achieve A,B,C. Etc.",68
168,2,Photo 2: No clear demonstration of breakdown/design opportunity,8
169,2,Photo 3: Same thing,4
170,2,Needs: A number of redundancies in needs listed.,9
171,2,"Fantastic job with the organization of your assignment. Most of the breakdowns you observed seemed to revolve around reminders, which does make sense. I would have been interesting to see if there are any parts of the whole exchange that could yield interesting insights. For example, even the decision stage at a restaurant table when people try to organize payments could be interesting. In a longer span, it could also be interesting to see how much people pay each other back in a mutual fashion (would we really need to exchange money all the time if we're always paying for each other?). Of course, not possible with the time scope of this assignment but something interesting to think about!",119
172,2,Needs: Some of the needs were redundant.,7
173,2,Well done! Great job finding a diverse set of participants with meetings involving members with varying levels of commitment. A core problem with many different possible breakdowns.,28
174,2,"Observations: no discussion of what the activity is/relation to brief. In general, missing a lot of substance regarding breakdowns/opportunities for design distilled from observation. Not very clear what exactly is being observed, and what you observed was a breakdown/opportunity. While interviewing is also an important role in needfinding, watching and observing breakdowns (rather than only listening to what they have to say about their problems) is a major part of this assignment. Did the lack of nicely designed signs hinder Alon in his activity? Does Diana make mistakes in ordering because of calorie concerns? These are examples of potential breakdowns that would be important to watch out for.",108
175,2,Needs: some redundancies/lack of relevance in needs.,8
176,2,Your ideas and topic are very interesting! But the sketches submitted demonstrated features or solutions. They should show users in the situation and the breakdowns in that situation.,28
177,2,Very thorough! Your needs were articulated more as features though. Be careful about being too solution-focused in this first step,20
178,2,Nice work -- ensure to not articulate needs as solutions.,10
179,2,"Ensure that you are not articulating needs as solutions or features: e.g. ""Jason needs an App that can help him find activity for him""",24
180,2,Second photo's caption does not express a breakdown,8
181,2,Ensure that you are not articulating user needs as solutions !,11
182,2,"I like the topic, but wanted to see a more explicit discussion of breakdowns in your notes and photo captions.",20
183,2,well done!,3
184,2,Good job!,2
185,2,Wanted to see a clearer connection to the Quantified brief.,10
186,2,Very thorough. Focus on being a little more concise next time.,12
187,2,"good effort, but shopping is overplayed, and the observations and needs from Andrea are irrelevant to a mobile app solution",20
188,2,Ensure that you are *not* articulating user needs as solutions !,11
189,2,Good job!,2
190,2,"The observations are only factual accounts, and doesn't demonstrate any empathetic reflection on how the usage of instagram affected the participants. Also make the breakdowns explicit.",26
191,2,"A need such as ""Students need to have an easy usage application, not too complicated to learn"" is too generic to offer any design opportunities.",25
192,2,"There were no explicit description on what breakdowns you saw in the observations. To relate to the brief, reflect on what kind of emotions the stories each participant found made them feel.",32
193,2,Great job focusing on user needs! The 1st photo didn't demonstrate much of a breakdown. May have been better to show what was on his screen to show that he doesn't use reminders or calendars,35
194,2,"As we discussed in class, you should not ask people to describe how they think someone in New York does something. Instead, you want your interviewee to reflect on what they are an expert of: e.g. their own experiences. While it's great that you're reaching out to TAs to get feedback, ensure you are then *implementing* that feedback in your work.",61
195,2,Photo 1: doesn't really cover the breakdown/design opportunities you observed with this participant,13
196,2,"Overall, I think it was great that you covered multiple avenues through which people decide to make book purchases. Most people will simply jump on the conclusion that there should be a catch-all app that everyone can use and viola, textbook exchange solved. However, as you have observed, it is important to consider design opportunities everywhere, in bookstores, social media, online marketplaces, etc. ",64
197,2,not enough user needs; user needs are too similar and rephrased for different users,14
198,2,"Good work -- seems as if there are interesting design opportunities about scheduling, especially our reluctance to commit e.g. ""maybe syndrome"" Looking forward to learning more about this in future assignments",31
199,2,"some needs not relevant to brief, could be more insightful",10
200,2,"WARNING: Please follow instructions and submit as a PDF, not a doc.",12
201,2,"Relevance: A fair chunk of the observations/discussion appear much more centered around organization and multitasking, rather than information exchange.",19
202,2,Needs: Some seem in the duplicate realm. A few all about not getting distracted/multitasking etc.,15
203,2,10 - already mentioned to be able to be fixed via a true keyboard + being minor,17
204,2,Good observations. I enjoyed how diverse the observed people were.,10
205,2,"The user needs had a few too many feature descriptions, that were also duplicates. The crux of the issue seems to be to marry the physical interactivity a reader can have with a physical form with the advantageous features that a virtual form delivers.",44
206,2,"The idea that in an instructor-student interaction, stories and feelings are being shared is interesting.",15
207,2,"However, this was not demonstrated in the observations, or their description. Specifically, the description from the professor or the TA's perspective was lacking. If they were displaying apathy, explicitly describe that. Also one observation that was specifically on the instructor would help.",42
208,2,No photos given.,3
209,2,"This topic is definitely interesting. But the sketches submitted were sketches of features rather than of breakdowns or design opportunities. Observations were also not comprehensive, and some of the needs were articulated as features.",34
210,2,Be careful not to focus on the solution too much. The needs were very feature-focused when they should be focused on the user's needs outside of technological solutions. Observations also need to be more clearly related to studio brief.,39
211,2,"Topic is good, but user needs were missing from the submission. Also, 2nd sketch didn't demonstrate a breakdown and the 3rd observation was not very comprehensive.",26
212,2,You did great!,3
213,2,"you are focusing on a system-driven design, remember we need the user to input the data manually",17
214,2,First photo didn't demonstrate a breakdown necessarily. Observations and needs need to be more clearly related to studio brief.,19
215,2,I was confused as to how the interviews and observations related to a project idea. The sketches were more solutions rather than breakdowns. I was unclear as to exactly what activity you were observing or interviewing for.,37
216,2,"Observations: some discussion seemed too focused on particular application interfaces from certain vendors. While these can be opportunities for some interface design projects, the variability in this can make it hard to find relevant needs for the activity you are observing.  ",43
217,2,"Photo 3:  not clear where the breakdown/design opportunity is here. If it's that the customer didn't have an ETA, what kind of slip did that cause for the delivery man?",31
218,2,"some needs are too vague, or not insightful",8
219,2,"No clear activity picked, more of an amalgam of various things. While it was still valuable to go into these different activities not knowing exactly what you would find, you want to narrow down your activity in this stage of the design cycle to gain as much insight about a particular activity as you can.",55
220,2,Photo # 3: could have more clarity on the breakdown. Is it just lack of knowledge? Where does this user slip? Has he shown indication of trying to find other musicians? Which part of that along the way give slight to this breakdown?,44
221,2,"Good choices of activities to observe regarding student organizations. Particularly interesting how much memory is involved in activities 1 & 2. From counting votes, to teaching routines, taking care of memory issues is always an opportunity for design in technology. ",41
222,2,Observations: could be a little bit more clear on where breakdowns/opportunities are occurring in some of your observations. Ex. Are there instances where Brian slips while going about the normal routine of correcting differences? Did any mishaps happen when trying to recall routine fro memory?,46
223,2,Missing photos + captions.,4
224,2,"Big problem space that will probably be relevant for a long time. Good diversity in observations, looking at multiple angles of the exchange. ",24
225,2,Photo/Caption 3: no clear demonstration of breakdown/design opportunity,9
226,2,Needs: some redundancies in needs. Some lacking detail to become a basis for a design project.,16
227,2,Sketch captions don't describe the breakdown or design opportunity. I liked the organization of your user needs!,17
228,2,"Your observations were of college students, but your needs mentioned young kids. Make sure your needs address the population you observed. Some needs were slightly redundant. Your sketches and captions better described the breakdowns than your description of the observations.",40
229,2,"Clear, but the scope of social collaboration can be broadened a bit rather than just only within games.",18
230,2,"I was confused as to what you were observing. The observations did not demonstrate breakdowns that could serve as  design opportunities within the scope of this project. Some of the needs listed were focused on technologies rather than user needs. Remember that the studio brief is ""Games with a Purpose,"" meaning you should be looking or behaviors or activities that could be improved through game design and game elements (i.e. studying, exercising, socializing, etc.)",75
231,2,nice work,2
232,2,No captions for photos,4
233,2,Ensure that you are discussing user needs *not* as solutions or features,12
234,2,Good job. I like how you observed a diverse set of people who use emoji as well as create emoji.,20
235,2,"Observations should provide more than a factual account of what you saw. For example, why does Axell share ""any message that is not raw text ... [through] Facebook""?",28
236,2,Some of your needs are much too feature oriented as opposed to a need that presents a design opportunity.,19
237,2,The explanation of how each music affected the participants in your observations was great.,14
238,2,"But your photos #1 and #2 were of solutions, not of the observation, breakdown, or design opportunities.",17
239,2,"Great diverse set of observations for this activity. Would have also been interesting to see how the rest of the exchange process goes, rather than the beginning, but I understand the constraints of time. Be careful about restricting insight to much to specific systems like TritonTexty. Can we generalize things a bit more? Based on what you observed, what general breaks down for online transactions, and what needs can come based on that? There's a lot of opportunities for different angles here.",82
240,2,"Parking! A longstanding problem that could definitely use some design improvement. I think it was good that you observed a good variety of breakdowns, from high-level locating to interface-level issues. ",31
241,2,Photos: Not very clearly indicated how some of these photos are linked to the particular 3 observations that you made. Make sure that the captions provide enough detail for that. Is Hannah involved in one of these photos? etc.,39
242,2,Needs: A number of redundancies in these needs that could easily be squashed into fewer needs. Could dig deeper into the core motiviations of those involving in this parking system exchange,31
243,2,"For Armando, it isn't quite clear from the observation writing where the breakdown/ design opportunity is. Everything seems to be going well for him and no issues are brought up. What went wrong with his methods of dividing tasks in his activities?",42
244,2,For your first user: Scannable by Evernote is helpful.,9
245,2,"Your point: ""A modern community should allocate more space by integrating various facilities into single edifices or in proximate areas to promote activity. Such as taller buildings"" is *not* a user-generated need. Ensure that you are not framing needs as solutions or features.",43
246,2,"Lastly, photo captions do not articulate breakdowns",7
247,2,User *needs* are very different to user *wants* -- ensure that you are not articulating needs as solutions or features,20
248,2,First photo's caption does not articulate a breakdown,8
249,2,Good job overall!,3
250,2,I am one of those people that uses a DSLR while carrying many lenses. If you want to see a particular setup that has worked for me and the design thoughts that went into it let me know and I can share it during office hours.,46
251,2,The observations and photos/captions should explicitly make clear where a breakdown appeared. A factual account is not an interesting observation.,20
252,2,"Since you chose different types of users to observe, a comparison or commonality of breakdowns between them would've been exciting to point out.",23
253,2,Good job!,2
254,2,excellent job! really insightful observations in different situations,8
255,2,A few of the needs listed are not quite as relevant to your activity of group discussion.,17
256,2,Good job on insightful breakdown observations!,6
257,2,Great topic and great job!,5
258,2,The topic and ideas are great! Be careful not to become too invovled during observations. You want to observe as if you're an outsider,24
259,2,"The topic is interesting, but needs to be more explicitly related to the studio brief. Also, only 2 participants were observed.",21
260,2,Great work! Only thing is that your 2nd photo didn't clearly demonstrate a breakdown. It wasn't clear what the student was doing or what was on his screen.,28
261,2,Your breakdowns and needs are too focused on the solution that you want to create.,15
262,2,"Well done. You didn't give an explanation, even a short one, about how your observed activity related to the brief!",20
263,2,Ensure to *not* articulate needs as solutions + second photo's description does not articulate a formulated breakdown,17
264,2,"Overall, great work with the observations + interviews. ",9
265,2,"In response to your question: "" How they would curate  travel route?"" Remember, how someone *would* do something can be *very* different to how they *actually* do something -- in future user testing, ensure you are making this distinction. Also, ensure that needs are *not* articulated as solutions",49
266,2,"Ensure that you are *not* articulating user needs as solutions or features: your list contains attempts to address user needs, simply write down the *needs*",25
267,2,nice work,2
268,2,"Great work with the interviews and observations. While there are 15 needs presented (satisfying rubric criteria), seems as if there is the potential for more 'of the box' needfinding, which I look forward to reading about in future assignments. ",40
269,2,Nice work -- take care to *not* articulate needs as solutions,11
270,2,"redundant needs, written observations missing",5
271,2,thorough good job,3
272,2,needs and breakdowns not very relevant to the brief,9
273,2,excellent job looking at different hobbies,6
274,2,Great descriptions of the feelings the interviewees went through.,9
275,2,Photo captions don't explain what kind of breakdown is shown.,10
276,2,Most of the needs are too general and hard to find a design opportunity in.,15
277,2,"Cooking, or food in general, is an amazing cultural artifact that carries a lot of stories. However, I felt your observations didn't demonstrate how the cooking or the resulting food would tell a story or make someone feel, and was only a factual account.",44
278,2,"Great work with observations! Some of the photos didn't demonstrate a breakdown or design opportunity, and some of the needs did not relate to something that could be pursued within this design project. ",34
279,2,I liked that you observed individuals as well as a group. Good needfinding!,13
280,2,Good needfinding!,2
281,2,Good topic! Only thing is that the 3rd photo and caption doesn't really show a breakdown.,16
282,2,Creative topic and good needfinding! I liked the three personas you used.,12
283,2,"On the right track, just needed a few more photos, ideas, and clearer description of your observations.",17
284,2,"Looks good, just need another interview and a few more ideas.",11
285,2,No photos/breakdowns described.,3
286,2,Nice work,3
287,2,"User *needs* are framed as user *wants* -- these are *very* different things so ensure to distinguish them in future assignments. Moreover, each ""want"" is prefaced with ""students"" -- observing three people does not make for generalizable data across the entire student body",43
288,2,"Nice work, it'd be great to see more outside of the box thinking when it comes to transportation -- get creative!",21
289,2,Ensure that you are not articulating needs as solutions or features,11
290,2,Ensure to not articulate user needs as solutions or features,10
291,2,many needs are not relevant to brief,7
292,2,great observations,2
293,2,"finding some way to observe an activity would be better, but diary and interview is sufficient",16
294,2,Well done! I like how you observed a lot of different interesting facets of the broad activity of goods exchange.,20
295,2,I think the observation of people asking their friends what they think about products is very telling. People often would rather hear and trust opinions from those who they know rather than internet strangers.,35
296,2,Good job!,2
297,2,"How does each of the musician's practice help with their storytelling? Some of your reflection would be helpful, not just a factual account.",23
298,2,"Observation description requires more info. For example, you say Arman ""started implementing several tactics"", but only give one instance as an example.",22
299,2,No photos/sketches provided.,3
300,2,Only 8 user needs provided.,5
301,2,Good job!,2
302,2,Good job!,2
303,2,Good job!,2
304,2,"good observations, but lacking description of breakdowns and design opportunities both in your observations and your photos",17
305,2,observations need to be more than pure observations--they need to demonstrate breakdowns or successes,14
306,2,"Good topic! The first photo doesn't very clearly demonstrate a breakdown. Also, some of the user needs were a bit redundant.",21
307,2,Creative topic and good needfinding!,5
308,2,Great job!,2
309,2,Good job overall! The 2nd photo didn't have a breakdown description. Some of the needs listed were also a bit redundant.,21
310,2,Very well done. Thank you for calling out the breakdowns explicitly.,12
311,2,well done,2
312,2,well done,2
313,2,The exact breakdown in your 3rd photo was unclear to me. Was Randy supposed to be doing homework at this time?,21
314,2,Good job!,2
315,2,Ensure you are not articulating user needs as solutions or features + provide explanation to relevance to studio brief,19
316,2,nice work,2
317,2,no recap in studio,4
318,2,observations could be more comprehensive,5
319,2,Obersvations: Not quite clear where the breakdowns/opportunites are for 3rd obs: Yudha. Does text/calling to book not work? Is it inefficient? Is Yudha failing to accomdate because of some facet of this method?,33
320,2,"Photo 3: in a similar fashion as the comment above, Photo/Caption 3 does not clearly demonstrate connection to a breakdown/design opportunity",21
321,2,"Very interesting topic and great job going after a diverse set of learning activities. This problem space is pretty big so if you end up pursuing something in this direction as a full project, I would advise to stick to a smaller target group, like specifically for guitar players, or specifically for those interesting in computer science concepts. This will help a lot with narrowing down what belongs in the designs etc.",72
322,2,Photo/Caption 3: Not a very clear connection to where the breakdown/design opportunity is.,13
323,2,Needs: A few of these are surface level/redundant and would not be quite critical enough to serve as a basis for a design project.,24
324,2,Would like to see more specifics about what you observed and how.,12
325,2,"Overall well-done. The third picture doesn't show a breakdown or design opportunity. I know you say that Jeremy needs to work consistently without feeling tired and pressured, but you don't address the fact that earlier he says that he uses this time pressure as a way to motivate himself to finish his work. It seems like there's more to understand here about why he works the way he does and how his situation might be improved. ",77
326,2,Well done! Some needs articulated as solutions/features. In particular need 5: Jerry needs a way to easily type in new workout logs.,22
327,2,The breakdown for Joseph sounds more like a necessity of doing schoolwork than a real breakdown. 3rd photo did not show a clear breakdown/design opportunity.,26
328,2,"Many of your needs assume a solution. For example 1. says ""User needs an application..."" Why do they need an application? Your answer to that question is what should be written down. ",33
329,2,"Many of your needs were redundant. You seem to be using breakdown and design opportunity interchangeably. A breakdown would be the specific point at which something goes differently from the user's expectation. A design opportunity is just an idea, based on your observations, for a problem that needs to be addressed. None of these should be too specific about how the need is addressed at this stage. ",68
330,2,"Your description of Cory's breakdown sounds more like a design opportunity. This was actually true of your second breakdown as well. Some of your needs presuppose a solution, ie 15. ",31
331,2,"some user needs aren't related to brief. you're headed towards certain solutions, but i just don't see that clearly in the writing. brief explanation is too vague, too.",28
332,2,The observation plan and observations aren't related to the studio brief.,11
333,2,"Duplicate needs such as 1,3, and 11 or 4 and 13.",11
334,2,Some needs were solutions not needs. (such as simple quizzes to let user learn more about saving energy),18
335,2,Class talk wasn't well prepared.,5
336,2,"Finding design opportunities doesn't mean come up with an app. Rather it means identifying a pain point or a missed opportunity in the observation that could improve the activity. Your breakdown descriptions such as "" it is quite difficult to draw out a nice-looking and easily understood emoji"" were better. (No points deducted)",53
337,2,"The observation plan described is relevant to empathy by talking about ""connect[ing] us to more people in our lives"". However, observations 2 and 3 don't touch upon that. Perhaps having an interview with someone who had been wished a happy birthday would give both perspectives, and tie-in to the idea of connecting people.",53
338,2,"No meaningful captions provided for photos, sketches.",7
339,2,Several needs were redundant(e.g. 3 and 11) and/or was articulated as a feature.,13
340,2,"Observation should also contain some reflection/connection to the brief, not merely factual account. Only the first observation seem to do this.",21
341,2,Sketch should serve as a documentary for each activity. Only one seems to be directly connected.,16
342,2,"The observation plan is vague. Specifically what kind of communication, and what kind of information?",15
343,2,How the observations relate to sharing stories and feeling empathy is never made explicit.,14
344,2,The captions on the photos didn't give much insight into the breakdowns that happen during the speech.,17
345,2,Another useful perspective would have been to observe/interview someone who listened to one of these people's talks.,17
